,Title,Author,Category,Subcategory,Sub-Subcategory,Sub-Sub-Subcategory,Pages,Cover Type,Production_Year,ISBN,Translator,Format,Availability,Price,Description
15,Ангели — помічники Бога і друзі людини,Томас Важни,"Віра, практичне християнство",Наша віра,,,128,м'яка,2015,978-966-395-519-3,,130x200,Є в наявності,120.00грн.,"Для чого створені ангели, яка їхня функція? Чи потрібне їхнє посередництво? Чи без них Бог не впорався би з нашим спасінням і долею світу?
         Звичайно, упорався б. Але ангели існують як найвищий, найпрекрасніший прояв безконечної Божої любови. В ангелі, якого кожному з нас призначено за опікуна, присутній сам Бог.
         Ця книжка – про ангелів – вірних помічників Бога й надійних друзів людини."
16,Андрей Шептицький. Визначні постаті,Оксана Думанська,Святі і визначні постаті,Постаті,,,48,м'яка,2016,978-966-395-933-7,,120х165,Є в наявності,40.00грн.,"Цей короткий біографічний нарис знайомить читачів з основними віхами життя і служіння Митрополита Андрея Шептицького – видатного церковного та громадського діяча, турботливого Пастиря свого народу, мудрого велетня зі Святоюрської гори та просто «любого Таточка». Уривок текстуНе було такої галузі буття, куди би Митрополит Андрей не доклався своїм благословенням, порадами, коштами. Розуміючи велику потребу в народній освіті, він усіляко підтримував школи і гімназії, навідувався у пластунські табори, засновував ремісничі навчальні заклади і сиротинці, оплачував науку дітям без батьківської опіки. Був їхнім «Таточком», до якого вони писали листи:«Наша маленька Ганнуська ніколи тебе не бачила, і ми їй пояснюємо, що ти такий великий, як наша черешня на городі, а борода у тебе, як у святого Миколая»."
17,Антикризовий біблійний порадник,Алєксандр Яциняк,Психологія,Популярна психологія,,,152,м'яка,2011,978-966-395-458-5,,130x200,Є в наявності,150.00грн.,"Коли ти опиняєшся на узбіччі, коли змушений вирушати в незнане в пошуках праці, коли валиться цілий твій світ, коли втрачаєш когось близького, коли настає криза віри, коли навколо тебе тріумфує зло, коли стикаєшся з драмою смерти, коли зазнаєш зради – у всіх цих кризових ситуаціях тобі допоможе Слово Боже, яке пояснює остаточний сенс страждань і вказує на те, врешті-решт ми подолаємо всі труднощі, що трапляються на нашому життєвому шляху.
 Світова економічна криза та її вплив на життя звичайних людей спонукали о. Алєксандра Яциняка до роздумів над важкими, складними й болісними речами, з якими люди стикаються в житті, та їх аналізу на підставі біблійної мудрости."
18,Апостол,,Богослужбові книги,Літургійні книги,,,716,тверда,2013,978-966-395-486-8,,170х240,Є в наявності,950.00грн.,"Репринт за виданням 1991 року. Включає чин Божественної літургії. Тверда обкладинка з художнім тисненням, великий формат.Книга ""Апостол"", rybuf  fgjcnjkksnehusqys rybub купити літургійні книги"
19,Байки харківські (Електронна книга: PDF),Григорій Сковорода,Електронні та аудіокниги,,,,72,,2009,978-966-395-329-8,зі староукр. мови Н. Федорака,pdf,Є в наявності,15.00грн.,"В Україні нині вельми популярними стали короткі історії італійського автора Бруно Ферреро, та ще в ХIX ст. подібні сюжетні замальовки, точніше короткі байки з християнською мораллю, писав наш земляк Григорій Сковорода. В них він показував цінність внутрішніх якостей людини, які й визначають її суть. Якщо ми шукаємо себе в житті, шукаємо надійну опору у світі хитких цінностей та душевного миру в собі, шкода не скористатися мудрими порадами нашого мандрівного філософа, що є вислідом його спостережень української дійсности.
«Байки харківські» в новому сучасному омовленні призначені для найширшого кола читачів та читачок."
20,Батьківство не для боягузів,Джеймс Добсон,Сім'я та виховання,Виховання дітей,,,216,м'яка,2011,978-966-395-455-4,з англ. Остап Гладкий,145x200,Є в наявності,220.00грн.,"«Навіть не знаю, як впоратися з проблемами своїх дітей», «Я не став для них тим взірцем, яким мав бути», «Я вже не вірю у свої батьківські здібності» – такі песимістичні настрої притаманні багатьом сучасним батькам.
        Книжка «Батьківство не для боягузів», видана накладом понад мільйон примірників, наповнить батьків упевненістю і додасть снаги у вихованні дітей.
       Доктор Джеймс Добсон – психолог, консультант з питань сім’ї, шлюбу й виховання дітей та автор численних бестселерів, – спираючись на великий власний і професійний досвід, допоможе:
* запобігти проблемам з вихованням дитини, перш ніж вони з’являться;
* позбутися вини щодо важких для виховання дітей;
* зберегти розсудливість упродовж підліткових років вашої дитини;
* відновити енергію, коли загрожуватиме виснаження;
* поліпшити стосунки з дітьми."
21,Бачити в темряві : Досвід незрячої людини.,Джон М. Галл,"Віра, практичне християнство",Віра і соціяльні проблеми,,,263,м'яка,2015,978-966-395-846-0,"з німецької О.Винярської, В.Слюсаренка",145х200,Є в наявності,50.00грн.,"Бачити в темряві. Досвід незрячої людини. Джон М. Галл ""Бачити в темряві"" - книжка про мистецтво жити. Про те, як бути щасливим попри відсутність зору. Про вміння любити життя, його смак, про причетність, про вміння радіти."
22,Бен Гур,Люїс Волес,Художня література,Проза,,,488,тверда,2008,978-966-395-249-9,Остап Гладкий,150х205,Є в наявності,390.00грн.,"Історія юдейського героя Бен-Гура поєднує в собі авантюризм, сентиментальність та глибокі релігійні почуття. Прагнення помсти та честолюбство – головні рушійні сили молодого юдея. Він прагне стати великим полководцем і визволити свою батьківщину, Юдею, з римської неволі. Проте зустріч з Ісусом Христом перевертає його життя, робить з нього нову людину. Автору переконливо вдалося показати, як в одній особі можуть переплітатися такі суперечливі якості, як прагнення крови і ніжність, самозакоханість і безкорисливість, юнацька пристрасть і духовна чистота. Поціновувач може читати цей твір як історичну повість, як епос чи мелодраму, і навіть як авантюрну історію."
23,Бесіди з етики,Анджей Шостек,Катехизація і християнське виховання,Християнська етика,,,120,м'яка,1999,966-561-109-7,з пол. С. Рудович,130x200,Є в наявності,80.00грн.,"Людина завжди стоїть перед вибором добра і зла. І навіть, здавалося б, правильне рішення може мати негативні наслідки. На який досвід опертись, якому авторитетові довіряти? Автор не дає прямої відповіді на ці та подібні питання, але, розмірковуючи над ними з позиції християнської філософії, підводить читача до самостійного висновку та заохочує до глибшого аналізу. Книга може використовуватися як підручник з етики."
24,Біблійні рецепти,"Чіучі Андреа, Сартор Паоло","Культура, традиції, мистецтво","Здоров'я, краса, харчування",,,176,тверда,2013,978-966-395-669-5,з італ. Тарас Курилець,170х235,Є в наявності,190.00грн.,"У книжці містяться рецепти, взяті з біблійного тексту або точно реконструйовані, як у виборі складників, так і способів приготування їжі зі стародавньої Східної кухні. Рецепти взяті з часів Авраама, Мойсея, єврейських царів, пророків і Нового Завіту. Рецепти супроводжуються міркуваннями історичного, філологічного, культурного та духовного змісту. Ця книга цікаво поєднує історію, богословію і кулінарію."
25,Біблійні секрети краси,Джинджер Гаррет,"Культура, традиції, мистецтво","Здоров'я, краса, харчування",,,160,м'яка,2016,978-966-395-457-8,з англ. А. Трофімова,145x200,Є в наявності,150.00грн.,"У книжці «Біблійні секрети краси» Джинджер Ґаррет розкриває секрети плекання краси, якими користувалися наші сестри тисячоліття тому, в біблійні часи. Оскільки ці рецепти косметичних засобів не містять синтетичних речовин та консервантів, вони корисніші й дієвіші, аніж ті, якими нас зваблює сучасна реклама.
 У цій книжці ви відкриєте для себе:
Секрети краси, що їх косметична індустрія воліє не відкривати;
Стовідсотково натуральні косметичні засоби, які легко приготувати в домашніх умовах;
План двадцяти восьми днів очищення для тіла, розуму та духу
та багато іншого цікавого й корисного.
Кожна жінка заслуговує на те, щоб виглядати і почуватися якнайкраще, – так, як при сотворенні. Ця книжка не лише про косметичні засоби давнини, вона також про те, як кожна жінка може віднайти власну красу."
26,Біблія та мораль,,Святе Письмо/Біблія. Біблістика,Усе про Біблію,,,200,м'яка,2012,966-365-555-1,,130x200,Є в наявності,150.00грн.,"У пропонованому документі Папської Біблійної Комісії розглянуто питання взаємозв'язку Біблії та моралі. Мета цього документу - показати ті моменти, що їх біблійне об'явлення пропонує нам сьогодні як допомогу в делікатному процесі прийняття розсудливих моральних рішень..."
27,"Благословенні душі, що вміють випромінювати...","Зеновій Красівський, Олена Антонів",Святі і визначні постаті,Постаті,,,954,тверда,2015,978-966-395-889-7,,170x240,Є в наявності,590.00грн.,"Вперше в українській історіографії підготовлена ґрунтовна, великоформатна
книга (950 сторінок, понад 360 ілюстрацій) про лицаря духу, співзасновника
підпільного Українського національного фронту Зеновія Красівського, який
усе життя боровся за свободу України та легалізацію УГКЦ, відбувши за це
26 невільничих літ, та про його чарівну дружину Олену Антонів – берегиню
політв’язнів, матір Тараса Чорновола. Книга містить твори З. Красівського,
зокрема унікальний листовний твір «Владимирський централ», вперше
опубліковану поетичну збірку «Месник», видану 1984 р. в Лондоні збірку
«Невольницькі плачі», його виступи, листи, у тому й епістолярний роман
Зеновія та активістки Міжнародної Амністії з Нью-Йорка Айріс Акагоші,
спогади друзів та співв’язнів, документи слідства й суду з архіву
колишнього КДБ. Окрема частина книжки присвячена незабутній Олені
Антонів, яка трагічно загинула на очах у Зеновія."
28,"Благослови, душе моя, Господа (Електронна книга: PDF)",,Електронні та аудіокниги,,,,208,,2015,,,pdf,Є в наявності,40.00грн.,"Електронна книга. Видання п'яте, доповнене. Щоденні молитви. Катехизмові Правди. Взірець доброї сповіді. Молитви перед Святим Причастям. Молитви на різні потреби. Акафіст до Господа нашого Ісуса Христа. Молитви при трапезі. Молебень до Богометері. Молитви за нарід. Коляди..."
29,"Благослови, душе моя, Господа. Молитовник",,Богослужбові книги,Молитовники та акафісники,,,208,тверда,2022,978-966-561-251-3,,100х140,Є в наявності,160.00грн.,"Молитовник ""Благослови, душе моя, Господа"" містить щоденні молитви, катехизмові Правди, взірець доброї сповіді, молитви перед Святим Причастям, молитви на різні потреби, акафіст до Господа нашого Ісуса Христа, молитви при трапезі, молебень до Богоматері, молитви за нарід, коляди тощо.
Видання п'яте, доповнене."
30,Бог живий (Православний катехизм),,Катехизація і християнське виховання,"Катехизми, катехитичні матеріали",,,384,м'яка,2005,966-561-381-2,з франц. Зоряни Курдини,170x240,Є в наявності,250.00грн.,"«Бог живий» - це не традиційний катехизм, у якому можна віднайти докладні визначення і формулювання основоположних правд християнської віри. Це, радше, неформальний путівник у світ східної духовности, яка невіддільна від Святого Письма Старого й Нового Завіту, богослужбового життя Церкви та літургійних празників. Побудований як діялог між дитиною та старцем, катехизм дозволить крок за кроком відкривати своєму читачеві тайну Бога через Його біблійне Об’явлення починаючи від сотворення й закінчуючи сьогоденням. Адресована катехитам, учителям християнської етики, батькам та їхнім дітям."
31,Бог завжди зі мною. Молитовник дитини (Електронна книга: PDF),,Електронні та аудіокниги,,,,288,,2016,,,pdf,Є в наявності,55.00грн.,"Перед замовленням авторизуйтесяМолитви раннішні, вечірні, щоденні і молитви на різні потреби дитини.
    Катехизмова частина - добре приготування до першої сповіді й урочистого святого Причастя.
    Свята Сповідь - адаптований для дитини взірець іспиту сумління.
    Святе Причастя - молитви.
    Богослуження – коментар до Літургії, пояснення, як поводитися в храмі.
    Описи празників літургійного року.
    Пісні.
    Видання кольорове, ілюстроване.
    Молитовник ""Бог завжди зі мною"" - гарний подарунок від хресних батьків з нагоди урочистого святого Причастя."
32,Бог завжди зі мною. Молитовник дитини (м'яка обкладинка),,Перша Сповідь та Урочисте Святе Причастя,,,,288,м'яка,2016,978-966-395-174-4,,100x140,Є в наявності,110.00грн.,"Молитви ранішні, вечірні, щоденні і молитви на різні потреби дитини. Катехизмова частина - добре приготування до першої сповіді й урочистого святого Причастя. Свята Сповідь - адаптований для дитини взірець іспиту сумління. Святе Причастя - молитви. Богослуження – коментар до Літургії, пояснення, як поводитися в храмі. Описи празників літургійного року. Пісні. 
Видання кольорове, ілюстроване.
Молитовник ""Бог завжди зі мною"" - гарний подарунок від хресних батьків з нагоди урочистого святого Причастя."
33,Бог завжди зі мною. Молитовник дитини (тверда обкладинка),,Перша Сповідь та Урочисте Святе Причастя,,,,315,тверда,2024,978-966-395-090-7,,105x140,Є в наявності,150.00грн.,"Молитви ранішні, вечірні, щоденні і молитви на різні потреби дитини. Катехизмова частина - добре приготування до першої сповіді й урочистого святого Причастя. Свята Сповідь - адаптований для дитини взірець іспиту сумління. Святе Причастя - молитви Богослуження - коментар до Літургії - пояснення, як поводитися в храмі - описи празників літургійного року - пісні. 
Видання кольорове, ілюстроване. 
Молитовник ""Бог завжди зі мною"" - гарний подарунок від хресних батьків з нагоди урочистого святого Причастя."
34,Бог зцілює сьогодні,Філіп Мадр,Духовність,"Духовний ріст, духовна праця",,,238,м'яка,2011,978-966-395-499-8,Тарас Різун,145x200,Є в наявності,190.00грн.,"Чому Бог одних зцілює, а інших ні? 
Чому в цьому світі так багато страждань? 
Як молитися за зцілення?
      Філіп Мадр – лікар й душпастир, розповідаючи про дивовижні зцілення в наш час, свідком яких він був, переконує, що найбільше прагнення Бога – оздоровити людину, подарувати їй цілісне зцілення, згідно з Його великою любов’ю до нас. Часом Він вирішує, що добре об’явити це бажання у вигляді зцілення, а часто чинить це інакше, відповідно до своєї мудрости, яка перевищує наші розумові здібності, але водночас виразно запевняє стражденних, що Бог ніколи не залишить жодного з нас без порятунку, що нікого не покине наодинці з його бідою.
     Зі сторінок цієї книжки дізнаємося, що сила Духа в Церкві не ослабла, а Ісус Христос залишається тим самим вчора й сьогодні."
35,Бог кличе тебе,,Духовність,"Духовний ріст, духовна праця",,,340,твердий,2016,978-966-395-915-3,з англ. Остап Гладкий,125х170,Є в наявності,270.00грн.,"Коли ця книжка з'явилася, то відразу стала бестселером. Її авторки, побажавши залишитися невідомими, взяли собі псевдонім ""Дві слухачки"". Книга представляє християнську мудрість для читання на кожен день упродовж цілого року. Тут ви знайдете перевірені часом слова, сповнені тепла і любови, заспокоєння і підтримки, що спонукають до довіри до Бога."
36,Бог любить нас. Посібник катехита,Дзвенислава Сов'як,Катехизація і християнське виховання,Катехитичні зошити,,,126,м'яка,2014,978-966-395-806-4,,205х290,Є в наявності,120.00грн.,"Посібник для катехизації дітей віком 4-5 років. 
Описано зміст програми, очікувані результати, специфіку, підготовку катехита до організації навчально-виховного процесу та проведення уроків, співпрацю між катехитом, священиком, батьками дітей.
Подано схематичні плани-конспекти вступної зустрічі і двадцяти восьми занять, які впроваджують дитину у християнське життя. У конспектах запропоновано молитви, пісні, ігри, інтерактивні методи."
37,Бог ся раждає (колядник) (Електронна книга: PDF),,Електронні та аудіокниги,,,,96,,2016,978-966-395-401-1,,pdf,Є в наявності,20.00грн.,Електронна книга. Найкращий збірник популярних колядок для всієї родини на Різдво!
38,"Бог, якого ви шукаєте",Біл Гайбелc,Духовність,"Духовний ріст, духовна праця",,,230,м'яка,2012,978-966-395-588-9,,130х200,Є в наявності,190.00грн.,"РАНО ЧИ ПІЗНО Майже всі шукають Бога.
Через проникливі думки, глибокі роздуми, а подекуди дотепи і бувальщини Біл Гайбелс відкриває нам сутність Бога: Бога, який знає кожну нашу думку, який завжди милосердний, який нас провадить, який є відданим нам і який завжди поряд. Це Бог, який бачить нашу радість і смуток, Бог, який не припиняє давати, Бог, у чиїх руках є наше життя.
Ця книга про Бога, якого Ви шукаєте. Читайте уважно – і Ви будете вдячні, що зробили це. Тому що…
РАНО ЧИ ПІЗНО
Майже всі шукають Бога"
39,Богословська герменевтика ікони,Кароль Клявза,"Наукові, науково-популярні видання",Богослов'я. Філософія.,,,128,м'яка,2009,978-966-395-258-1,з пол. О. Мандрика,165х240,Є в наявності,120.00грн.,"Це перше богословське дослідження перекладено з польської мови зі сфери методології, котре трактує ікону як джерело для інтерпретації та історії догми. Автор використовує класичний для західного богослов’я метод богословських місць та инші суґестії Мельхіора Кано, а ткож використовує досягнення герменевтики Ґадамера, Шеню, Барта, Ратцінґера та фон Бальтазара. Категорія ортоіконічності, котру пропонує автор, є проявом богословської турботи про правильність запису догми з допомогою кольору, форми, простірних відношень, мотивів та символів. Її доповнюють елементи методології Сходу, котрі стосуються іконології. Завдяки цьому дослідження має екуменічний характер та є вкладом у сучасне богослов’я комунікації.
    Викладення змісту в окремих розділах нагадує про персоналістичну категорію зустрічі. Автор трактує ікону як специфічне місце контакту Бога, котрий сходить у таємниці Воплочення, з людиною, котра через споглядання ікони торкається до надприроднього світу. Також тому це дослідження становить внесок в аналіз паренетичного характеру християнської ікони."
